Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
LBN 763;;LBN 162.83-31.84;HII Region;Aries;"03h 13' 00""""";"19º 54' 00""""";;25' x 12';;;"03h 14' 27""""";"19º 59' 35"""""
LBN 847;;LBN 189.67-24.65;HII Region;Taurus;"04h 41' 00""""";"07º 24' 00""""";;25' x 5';;;"04h 42' 22""""";"07º 26' 49"""""
LBN 317;;LBN 082.35+02.71;HII Region;Cygnus;"20h 32' 00""""";"44º 12' 00""""";;23' x 20';;;"20h 32' 52""""";"44º 17' 11"""""
LDN 1473;;;Dark Nebula;Perseus;"04h 11' 42""""";"38º 10' 00""""";;23' x 23';;;"04h 13' 23""""";"38º 13' 48"""""
LDN 390;;;Dark Nebula;Scutum;"18h 35' 48""""";"-14º 28' 00""""";;23' x 23';;;"18h 37' 14""""";"-14º 26' 40"""""
LDN 604;;;Dark Nebula;Aquila;"18h 51' 36""""";"00º 14' 00""""";;23' x 23';;;"18h 52' 53""""";"00º 15' 54"""""
LDN 717;;;Dark Nebula;Sagitta;"19h 16' 13""""";"18º 00' 24""""";;23' x 23';;;"19h 17' 20""""";"18º 03' 10"""""
LDN 1240;;;Dark Nebula;Cepheus;"23h 11' 00""""";"66º 26' 00""""";;22' x 22';;;"23h 12' 01""""";"66º 34' 13"""""
NGC 2318;;;Open Cluster;Canis Major;"06h 59' 25""""";"-13º 49' 19""""";;21' x 21';;;"07h 00' 34""""";"-13º 51' 30"""""
LBN 126;;LBN 049.84-07.32;HII Region;Aquila;"19h 49' 00""""";"11º 24' 00""""";;20' x 8';;;"19h 50' 11""""";"11º 27' 52"""""
LBN 609;;LBN 122.55-11.86;HII Region;Cassiopeia;"00h 49' 00""""";"51º 00' 00""""";;20' x 20';;;"00h 50' 26""""";"51º 08' 13"""""
LDN 298;;;Dark Nebula;Sagittarius;"17h 58' 54""""";"-18º 00' 00""""";;20' x 20';;;"18h 00' 22""""";"-18º 00' 01"""""
CL KING 6;;;Open Cluster;Camelopardalis;"03h 27' 56""""";"56º 26' 38""""";;19' x 19';;;"03h 29' 53""""";"56º 31' 47"""""
BARNARD 360;;LDN 1063;Dark Nebula;Cepheus;"21h 07' 54""""";"56º 18' 00""""";;18' x 10';;;"21h 08' 37""""";"56º 24' 09"""""
LDN 1553;;;Dark Nebula;Taurus;"05h 19' 06""""";"26º 13' 00""""";;18' x 18';;;"05h 20' 40""""";"26º 14' 28"""""
LDN 244;;;Dark Nebula;Ophiuchus;"16h 51' 48""""";"-11º 15' 00""""";;18' x 18';;;"16h 53' 12""""";"-11º 17' 27"""""
LDN 1549;;;Dark Nebula;Taurus;"05h 17' 06""""";"26º 13' 00""""";;17' x 17';;;"05h 18' 40""""";"26º 14' 32"""""
LDN 872;;;Dark Nebula;Cygnus;"20h 01' 42""""";"40º 28' 00""""";;17' x 17';;;"20h 02' 35""""";"40º 32' 16"""""
ACO 2312;;;Cluster of Galaxies;Draco;"18h 53' 48""""";"68º 23' 06""""";;17' x 17';;;"18h 53' 43""""";"68º 25' 03"""""
ACO 586;;ZWCL 1340,ZWCL 147-8;Cluster of Galaxies;Gemini;"07h 32' 20""""";"31º 37' 58""""";;16' x 16';;;"07h 33' 57""""";"31º 34' 38"""""
ACO 2319;;H 1918+43;Cluster of Galaxies;Cygnus;"19h 20' 45""""";"43º 57' 43""""";;16' x 16';;;"19h 21' 32""""";"44º 00' 38"""""
LDN 1499;;;Dark Nebula;Taurus;"04h 10' 30""""";"24º 48' 00""""";;16' x 16';;;"04h 12' 01""""";"24º 51' 51"""""
LBN 217;;LBN 076.35+04.68;HII Region;Cygnus;"20h 05' 00""""";"40º 18' 00""""";;15' x 5';;;"20h 05' 53""""";"40º 22' 23"""""
LDN 1548;;;Dark Nebula;Taurus;"05h 16' 06""""";"26º 13' 00""""";;15' x 15';;;"05h 17' 40""""";"26º 14' 34"""""
CL CZERNIK 40;;;Open Cluster;Vulpecula;"19h 42' 39""""";"21º 08' 42""""";;14' x 14';;;"19h 43' 45""""";"21º 12' 22"""""
ACO 1068;;ZWCL 3375;Cluster of Galaxies;Ursa Major;"10h 40' 47""""";"39º 57' 19""""";;14' x 14';;;"10h 42' 14""""";"39º 49' 24"""""
LDN 1514;;;Dark Nebula;Taurus;"04h 42' 36""""";"29º 06' 00""""";;14' x 14';;;"04h 44' 11""""";"29º 08' 46"""""
LDN 972;;;Dark Nebula;Cygnus;"21h 21' 18""""";"46º 08' 00""""";;14' x 14';;;"21h 22' 13""""";"46º 14' 29"""""
CL RUPRECHT 171;;;Open Cluster;Sagittarius;"18h 32' 03""""";"-16º 03' 43""""";;14' x 14';;;"18h 33' 30""""";"-16º 02' 31"""""
LDN 1249;;;Dark Nebula;Cassiopeia;"23h 44' 24""""";"58º 57' 00""""";;13' x 13';;;"23h 45' 38""""";"59º 05' 24"""""
